id,name,start_date,end_date,published,created_date,updated_date
1,2015-2016,2015-01-01 00:00:00.000,2016-12-31 23:59:59.999,true,2017-10-07 18:13:34.995,2017-10-07 18:13:34.995
2,2016-2017,2016-01-01 00:00:00.000,2017-12-31 23:59:59.999,true,2017-10-07 18:13:34.995,2017-10-07 18:13:34.995
3,2017-2018,2017-01-01 00:00:00.000,2018-12-31 23:59:59.999,true,2017-10-07 18:13:34.995,2017-10-07 18:13:34.995
4,2018-2019,2018-01-01 00:00:00.000,2019-12-31 23:59:59.999,true,2017-10-07 18:13:34.995,2017-10-07 18:13:34.995
