id,name,acronym,image_id,published,created_date,updated_date
1,Aguascalientes Grande y Para Todos,CO_PRI_PT_PVEM_PANAL,null,true,2017-10-07 18:13:34.995,2017-10-07 18:13:34.995
2,Con Rumbo y Estabilidad para Oaxaca,CO_PAN_PRD,null,true,2017-10-07 18:13:34.995,2017-10-07 18:13:34.995
3,Juntos Hacemos Más,CO_PRI_PVEM_PANAL,null,true,2017-10-07 18:13:34.995,2017-10-07 18:13:34.995
