id,name,election_ambit,published,created_date,updated_date
1,Presidente de la República,FEDERAL,true,2017-10-07 18:13:34.995,2017-10-07 18:13:34.995
2,Diputados Federales,FEDERAL,true,2017-10-07 18:13:34.995,2017-10-07 18:13:34.995
3,Senadores,FEDERAL,true,2017-10-07 18:13:34.995,2017-10-07 18:13:34.995
4,Gobernador,LOCAL,true,2017-10-07 18:13:34.995,2017-10-07 18:13:34.995
5,Diputados Locales,LOCAL,true,2017-10-07 18:13:34.995,2017-10-07 18:13:34.995
6,Presidente Municipal,LOCAL,true,2017-10-07 18:13:34.995,2017-10-07 18:13:34.995
